TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-07,2026-05-07,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15119.87,15200.00,15100.00,15199.00,15199.00,15119.87,,15199.00,,,247,3741389.78,40,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15053.00,15250.00,15053.00,15198.81,15198.81,15100.00,,15198.81,,,275,4181512.36,40,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15134.00,15250.00,15121.00,15187.44,15199.00,15132.20,,15186.11,,,632,9588566.84,100,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15199.00,15206.65,15105.00,15177.63,15175.00,15094.92,,15182.18,,,256,3887119.19,27,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15111.00,15200.03,15111.00,15180.00,15180.00,15108.08,,15180.00,,,67,1017122.54,20,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15294.61,15299.00,15200.00,15228.80,15230.00,15294.61,,15228.80,,,381,5808896.92,40,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15125.00,15235.00,15105.00,15185.36,15180.00,15096.07,,15185.36,,,448,6792206.77,109,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15110.00,15110.00,15110.00,15110.00,15110.00,15110.00,,15110.00,,,2,30220.00,1,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15050.00,15133.00,15026.21,15069.12,15060.00,15050.00,,15069.12,,,19,285912.68,7,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15000.00,15101.16,14955.00,15100.63,15100.00,15069.99,,15100.63,,,73,1097441.53,25,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15115.00,15200.01,15115.00,15149.27,15200.00,15119.78,,15149.27,,,288,4375873.40,12,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15190.00,15190.00,15111.00,15115.50,15111.00,15020.22,,15094.29,,,30,453632.00,10,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15061.00,15125.00,15029.00,15070.00,15070.00,15043.04,,15070.00,,,20,301285.08,8,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15140.00,15140.00,15140.00,15140.00,15140.00,14990.00,,15140.00,,,8,121120.00,1,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15100.00,15100.00,15100.00,15100.00,15100.00,15145.29,,15100.00,,,5,75500.00,2,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,8766,IN0020180561,SGBFEB27,GB,,,,,2.50%GOLDBONDS2027SR-VI,15074.21,15199.00,15074.21,15167.80,15199.00,14870.00,,15167.80,,,4,60671.21,3,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15040.00,15190.00,15040.00,15155.01,15155.01,15040.00,,15155.01,,,119,1804171.96,16,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15400.00,15400.00,15102.01,15181.11,15189.00,15092.05,,15181.11,,,182,2759427.02,38,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15100.00,15247.98,15100.00,15162.00,15162.00,15099.84,,15162.00,,,314,4758483.39,38,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15132.97,15215.00,15060.00,15147.40,15130.01,15028.87,,15137.30,,,375,5677115.64,69,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15096.00,15170.00,15055.00,15170.00,15170.00,15025.88,,15170.00,,,28,422916.00,7,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15012.00,15224.99,15012.00,15165.40,15168.00,15043.20,,15166.48,,,1307,19807344.12,164,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,15052.01,15233.97,15052.01,15175.00,15160.00,15040.00,,15183.33,,,688,10425573.79,64,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15180.00,15245.00,15121.01,15213.43,15150.80,15032.66,,15213.43,,,99,1503445.57,14,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,15050.00,15091.00,15050.00,15090.00,15090.00,15051.43,,15090.00,,,10,150824.00,3,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15002.21,15144.97,15002.21,15125.00,15125.00,15050.00,,15111.36,,,62,937997.12,13,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,15088.00,15249.90,15088.00,15199.99,15199.99,15088.17,,15210.43,,,248,3767817.27,37,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,15055.00,15180.00,15055.00,15170.00,15170.00,15096.28,,15171.87,,,134,2027692.00,29,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,5455,IN0020210129,SGBAUG29V,GB,,,,,2.50%GOLDBONDS2029SR-V,15150.00,15248.00,15101.20,15245.00,15200.00,15063.93,,15245.00,,,57,867906.23,24,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,7098,IN0020210228,SGBD29VIII,GB,,,,,2.50%GOLDBONDS2029SR-VIII,15190.00,15298.00,15121.00,15246.08,15230.99,15096.70,,15236.56,,,86,1308379.44,30,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,2003,IN0020200385,SGBJAN29X,GB,,,,,2.50%GOLDBONDS2029SR-X,15040.00,15235.00,15032.01,15170.00,15170.00,15030.60,,15170.00,,,303,4576406.55,55,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,2200,IN0020200393,SGBFEB29XI,GB,,,,,2.50%GOLDBONDS2029SR-XI,15150.00,15230.00,15063.10,15170.14,15170.00,15062.50,,15170.14,,,82,1241028.94,49,F1,1,,,,,
2026-05-07,2026-05-07,CM,NSE,STK,2810,IN0020200427,SGBMR29XII,GB,,,,,2.50%GOLDBONDS2029SR-XII,15177.00,15199.99,15052.00,15142.72,15140.00,15026.36,,15132.60,,,257,3895704.47,45,F1,1,,,,,
