TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-25,2026-05-25,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15783.00,15783.73,15599.99,15700.06,15694.00,15783.00,,15698.77,,,362,5682746.80,63,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15800.00,15800.00,15639.00,15651.18,15639.00,15707.50,,15649.78,,,92,1444963.38,30,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15686.00,15715.01,15586.00,15624.91,15637.99,15676.43,,15617.03,,,699,10937391.89,118,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15781.00,15800.00,15511.00,15703.07,15661.00,15780.00,,15702.66,,,564,8860329.64,102,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15740.00,15790.00,15725.00,15770.00,15770.00,15740.00,,15760.00,,,476,7497614.41,30,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15823.00,15823.00,15601.00,15642.51,15650.00,15818.25,,15643.23,,,701,10995111.15,144,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15743.33,15750.00,15629.15,15640.00,15640.00,15743.33,,15638.82,,,331,5183562.19,70,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15670.01,15705.00,15670.01,15690.00,15705.00,15670.00,,15690.00,,,7,109745.02,6,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15625.00,15625.00,15602.01,15602.01,15602.01,15601.01,,15608.51,,,29,452550.25,5,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15680.00,15837.19,15680.00,15690.00,15690.00,15680.00,,15690.00,,,116,1820812.83,17,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15697.00,15724.96,15610.00,15620.80,15610.00,15697.70,,15620.80,,,91,1423190.86,18,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15700.00,15700.00,15611.11,15613.00,15613.00,15700.00,,15613.00,,,12,188024.11,5,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15724.49,15724.49,15614.00,15620.00,15620.01,15945.44,,15620.00,,,100,1564134.71,7,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15700.00,15738.23,15624.99,15624.99,15625.00,15700.00,,15624.99,,,40,625863.27,9,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15693.52,15693.52,15500.00,15614.64,15633.16,15655.00,,15614.64,,,415,6456619.83,62,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15740.00,15828.75,15740.00,15828.75,15828.75,15794.60,,15828.75,,,128,2015007.50,6,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15701.00,15750.00,15601.00,15640.07,15650.00,15686.12,,15653.86,,,78,1222026.47,36,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15687.00,15700.00,15613.00,15618.74,15615.00,15683.94,,15613.78,,,155,2422083.05,29,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15712.00,15740.00,15644.00,15644.20,15644.00,15703.92,,15644.20,,,214,3359650.58,32,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15651.00,15651.00,15650.00,15650.00,15650.00,15700.00,,15650.00,,,26,406920.00,6,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15706.63,15750.00,15649.35,15649.87,15650.00,15706.63,,15644.11,,,305,4780512.65,61,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,15702.00,15709.00,15621.00,15624.60,15640.00,15683.81,,15623.95,,,118,1847697.37,33,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15700.00,15700.00,15630.00,15630.01,15630.00,15689.60,,15618.97,,,143,2237809.69,26,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,15705.28,15739.75,15610.01,15610.01,15610.01,15740.00,,15610.01,,,69,1081956.95,15,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,18451,IN0020190552,SGBMAR28X,GB,,,,,2.50%GOLDBONDS2028SR-X,15751.65,15751.65,15751.65,15751.65,15751.65,15751.65,,15725.83,,,1,15751.65,1,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,5113,IN0020210111,SGBJUL29IV,GB,,,,,2.50%GOLDBONDS2029SR-IV,15615.01,15800.00,15615.01,15662.00,15662.00,15755.00,,15662.00,,,71,1116341.01,15,F1,1,,,,,
2026-05-25,2026-05-25,CM,NSE,STK,1920,IN0020200377,SGBJAN29IX,GB,,,,,2.50%GOLDBONDS2029SR-IX,15720.00,15720.00,15640.00,15649.83,15649.50,15708.44,,15649.83,,,362,5677605.97,54,F1,1,,,,,
