TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-21,2026-05-21,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15690.00,15795.60,15690.00,15731.50,15760.00,15690.00,,15720.57,,,35,551079.39,12,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15965.62,15965.62,15651.01,15720.00,15720.00,15576.22,,15720.00,,,265,4167748.44,36,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15750.00,15779.99,15702.00,15742.96,15760.00,15658.52,,15742.96,,,553,8698220.45,79,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15727.00,15849.99,15727.00,15779.75,15780.00,15715.00,,15779.75,,,22,346572.00,9,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15745.00,15799.99,15745.00,15793.52,15760.00,15654.04,,15793.52,,,377,5945708.70,36,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15684.96,15896.00,15684.96,15888.00,15896.00,15684.96,,15903.80,,,305,4832675.47,39,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15699.09,15974.98,15699.09,15865.69,15874.00,15699.09,,15865.69,,,216,3405939.47,33,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15701.00,15701.00,15700.00,15700.00,15700.00,15700.00,,15900.00,,,24,376810.00,2,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,16000.00,16000.00,15452.00,15675.00,15675.00,15625.00,,15675.00,,,9,142382.00,7,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15704.00,15759.98,15625.00,15705.33,15713.60,15573.99,,15705.11,,,235,3688402.69,95,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15700.00,15700.00,15700.00,15700.00,15700.00,15610.00,,15735.00,,,10,157000.00,1,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,15910.00,15945.44,15516.12,15945.44,15945.44,15650.00,,15912.72,,,3,47371.56,3,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,13981,IN0020190370,SGBOCT27,GB,,,,,2.50%GOLDBONDS2027SR-V,15800.00,15800.00,15654.22,15699.78,15700.00,15601.19,,15701.73,,,28,440413.88,6,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,14252,IN0020190388,SGBOCT27VI,GB,,,,,2.50%GOLDBONDS2027SR-VI,15620.21,15700.00,15620.21,15655.00,15655.00,15600.00,,15655.00,,,20,313014.74,7,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,15432,IN0020190461,SGBDC27VII,GB,,,,,2.50%GOLDBONDS2027SR-VII,15750.00,15799.97,15716.02,15794.99,15794.99,15643.32,,15794.99,,,539,8482933.92,32,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,18862,IN0020200062,SGBAPR28I,GB,,,,,2.50%GOLDBONDS2028SR-I,15700.00,15844.85,15649.99,15755.67,15720.00,15660.00,,15754.96,,,436,6851347.67,104,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,18972,IN0020200088,SGBMAY28,GB,,,,,2.50%GOLDBONDS2028SR-II,15650.00,15701.00,15650.00,15700.40,15700.40,15608.32,,15693.60,,,294,4610633.97,42,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,22242,IN0020200146,SGBJUL28IV,GB,,,,,2.50%GOLDBONDS2028SR-IV,15651.00,15800.00,15651.00,15749.72,15750.00,15632.55,,15749.72,,,477,7496492.19,74,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,17664,IN0020190545,SGBFEB28IX,GB,,,,,2.50%GOLDBONDS2028SR-IX,15585.02,15889.67,15585.02,15889.67,15889.67,15575.00,,15889.67,,,2,31474.69,2,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,22385,IN0020200161,SGBAUG28V,GB,,,,,2.50%GOLDBONDS2028SR-V,15623.20,15749.99,15600.00,15737.52,15701.11,15615.22,,15730.34,,,1345,21142972.34,136,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,149,IN0020200195,SGBSEP28VI,GB,,,,,2.50%GOLDBONDS2028SR-VI,15622.01,15734.99,15621.00,15706.28,15725.00,15621.38,,15724.33,,,376,5899245.98,44,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,834,IN0020200203,SGBOC28VII,GB,,,,,2.50%GOLDBONDS2028SR-VII,15700.00,15738.50,15662.00,15680.88,15682.00,15623.80,,15668.36,,,78,1223744.29,20,F1,1,,,,,
2026-05-21,2026-05-21,CM,NSE,STK,17110,IN0020190537,SGBJ28VIII,GB,,,,,2.50%GOLDBONDS2028SR-VIII,15665.00,15800.00,15650.00,15675.00,15675.00,15654.06,,15675.00,,,146,2285563.21,23,F1,1,,,,,
