TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-18,2026-05-18,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15600.00,15630.00,15550.01,15575.05,15575.05,15656.00,,15575.05,,,263,4102451.12,14,F1,1,,,,,
2026-05-18,2026-05-18,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15685.00,15685.00,15523.00,15636.87,15573.00,15688.28,,15628.03,,,760,11850671.59,79,F1,1,,,,,
2026-05-18,2026-05-18,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15605.05,15649.98,15560.00,15608.94,15600.01,15713.79,,15608.74,,,588,9179740.77,92,F1,1,,,,,
2026-05-18,2026-05-18,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15700.00,15705.00,15600.00,15628.12,15650.00,15710.00,,15645.80,,,240,3751638.96,34,F1,1,,,,,
2026-05-18,2026-05-18,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15651.00,15651.00,15561.00,15618.31,15625.00,15650.00,,15610.82,,,587,9150197.69,33,F1,1,,,,,
2026-05-18,2026-05-18,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15615.00,15827.78,15615.00,15659.41,15648.00,15827.24,,15670.99,,,205,3208161.51,47,F1,1,,,,,
2026-05-18,2026-05-18,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15600.00,15700.00,15560.00,15640.00,15640.00,15689.90,,15599.66,,,141,2202102.09,44,F1,1,,,,,
2026-05-18,2026-05-18,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,15590.00,15671.00,15552.01,15670.50,15671.00,15750.00,,15670.50,,,33,515583.50,12,F1,1,,,,,
2026-05-18,2026-05-18,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15550.00,15650.00,15550.00,15600.00,15600.00,15737.50,,15600.00,,,36,562849.79,9,F1,1,,,,,
2026-05-18,2026-05-18,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15742.57,15742.57,15650.00,15650.00,15650.00,15742.57,,15650.00,,,15,235675.70,2,F1,1,,,,,
